,27020 rub,6607lis1,cdotk,007847pal,ch971,nut35,sn120,c801,0304v1,3049m-1041,29749 climon,48459 f1,4988acae1,0676trasg1,1681aull1,,CdoT43,0896snr31,33757 sfco,3359cu1,7285sf1,and1,,,,,,,,,,,,,,,,,,,,,cse
,S1,S2,S4,,S5,S6,S7,S8,S9,S10,,S11,S12,S13,S14,S15,SUBMISSION: 100132179,,S16,S17,S18,S19,FV1,FV2,FV4,FV5,FV6,FV7,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15,FV16,FV17,FV18,FV19,,,
,Rubiales,Lisama 165,Teca 62,Palagua,Chichimene 97,Nutria 35,Santos 120,Castilla 80,Vasconia-Tropomix,Mangos 104,CañoLimón,Fauno 1,ACAE 12,Trasgo 1,Aullador 1 DST2,Tisquirama 7,Tesoro 43,San Roque 3,San Francisco 17,Mezcla parafínica,San Fernando,Andalucia sur 10,Rubiales,Lisama 165,Teca 62,Chichimene 97,Nutria 35,Santos 120,Castilla 80,Vasconia-Tropomix,Mangos 104,Fauno 1,ACAE 12,Trasgo 1,Aullador 1 DST2,Tisquirama 7,San Francisco 17,Mezcla parafínica,San Fernando,Andalucia sur 10,Tesoro 43,San Roque 3,CSE
,200789673,200826607,200866254,201010735,200820720,200825159,200825157,200823420,200798220,#REF!,200740335,200779601,#REF!,200780676,200881681,200830897,#REF!,200830896,#REF!,#REF!,200897285,200833761,200802115,200928210,200982546,200832769,200845783,200837698,200834748,200810104,#REF!,200812429,200891969,200817187,200898545,200873436,#REF!,#REF!,200939838,200885472,#REF!,200885486,
,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO,CRUDO,CRUDO*,CRUDO,CRUDO,CRUDO*,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,FON,
ANALISIS,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,534.9,517.8+,519.6+,525.5+,532+,524.5+,521+,535+,517+,565.5+,558+,530+,530+,530.+,545+,521.5+,533+,539+,548+,512.2+,
,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,995+,964+,967.3+,978+,990+,976+,970+,995+,962.6+,1050,1036+,987+,986+,986,1013+,970.7+,991.4+,1002+,1018.4+,954.0+,
Níquel (ppm),38.07,9,52,49,111.00,5.55,24.43,94.64,45.77,98,36.63,33.03,25,61.27,29.1,43,2.15,47.1,24,2.7,115,11.4,101.00,33,P,236.00,25.68,72.75,208.00,154.00,240,103,112,167.00,103,111,113,36,221,48.7,7.38,82.8,32.13
Nitrógeno Básico (%w),,,,,,,,,,,,,,,,,,,,,,,0.163,0.1731,0.388,0.253,0.085,0.144,0.143,0.185,0.235,0.1650,0.185,0.191,0.180,0.105,0.175,0.100,0.173,0.145,0.062,0.167,
Nitrógeno Total (%w),0.3242,0.1736,0.4924,0.4050,0.6310,0.1316,0.2351,0.4796,0.2661,0.4166,,0.3074,0.2310,0.3587,0.3260,0.3984,0.0703,0.3321,0.1789,0.0468,0.6420,0.1197,0.7527,0.4681,0.9650,1.0220,0.4075,0.6229,0.9326,0.8146,0.8824,0.7562,0.7426,0.8288,0.7722,0.8014,0.6710,0.4310,1.0400,0.5189,0.2936,0.6797,0.3003
Pto. ablandamiento (°C),,,,,,,,,,,,,,,,,,,,,,,120.0,32.0,84.0,111.0,87.0,49.6,109.0,95.0,69.0,127.5,51.0,102.0,48.6,49.5,65.0,60.5,104.0,76.8,47.8,37.4,
Penetración a 25°C (mm/10),,,,,,,,,,,,,,,,,,,,,,,0.4,157.7,0.6,0.5,5.6,44.5,0.0,2.4,6.7,0.1,40.4,1.0,62.0,51.8,7.6,13.0,0.0,3.3,58.7,155.4,
Tipo de Carbono Aromático (Método SMS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monoaromáticos (% w),4.62,5.75,5.60,5.59,5.21,4.16,5.23,5.08,4.73,5.09,3.56,4.52,5.21,4.98,4.42,4.67,3.92,4.49,5.43,6.02,5.37,4.84,4.01,4.30,4.50,4.68,4.24,4.16,4.48,4.55,4.58,4.01,4.39,4.59,4.28,4.45,3.79,4.43,4.49,4.85,3.98,4.30,
Diaromáticos (%w),2.89,3.81,3.67,3.60,3.50,2.24,2.83,3.86,3.26,3.32,2.67,2.76,2.92,3.81,2.72,2.90,1.96,2.72,3.37,2.87,3.68,3.98,2.90,2.80,3.23,3.33,2.77,2.84,3.30,3.38,3.34,2.91,3.04,3.48,3.07,3.09,2.83,3.54,3.28,3.89,2.53,2.93,
Triaromaticos (%w),3.35,2.71,3.69,3.32,4.00,1.67,2.30,3.74,2.80,2.98,2.26,3.33,2.32,3.89,2.71,2.80,1.30,2.59,2.35,1.58,4.24,2.52,4.12,3.67,4.23,4.57,3.52,3.79,4.52,4.43,4.11,4.16,3.89,4.58,4.04,4.00,3.59,4.65,4.48,5.04,3.13,3.75,
Tetraaromaticos (%w),3.20,1.90,3.24,2.83,4.62,1.78,2.12,3.75,2.26,2.73,1.59,3.02,1.85,3.29,2.34,2.76,1.16,2.38,1.66,0.75,4.60,1.59,6.26,4.17,5.64,6.73,5.49,4.80,6.35,6.17,5.15,6.86,5.48,6.64,5.06,5.11,5.21,5.25,6.54,6.42,4.57,4.60,
