"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C33H30","4345002","1348176","9448598","1176230","6343141","1961887","2919807","1127354","11149753","3159001","3251579","18960436","7170147","6301793","5977553","3424715"
"C34H32","5513458","1917671","8008008","1045822","5848256","1614899","4118224","1980401","8861758","2702070","2836562","11731436","5486232","4946760","10241941","3243316"
"C35H34","4257102","1738407","10018872","1236648","7545240","2121648","3661231","1955107","12148513","2956088","2105393","9849466","5713872","5506807","11708753","2704553"
"C36H36","4916346","2009933","14113848","965495","6659708","1701756","2928878","3648127","18396118","2363113","2093586","6655633","3874049","5376544","7288067","2912697"
"C37H38","4022791","2688937","14012326","1130405","5781885","1450581","2809198","3246007","18382244","2332250","1749793","7909711","5601194","4498235","7120985","2308079"
"C38H40","3831178","2931450","15165769","1056357","5929209","2109218","2928656","4275612","17594848","2239191","1737230","7013484","4988821","3961276","6502411","2697976"
"C39H42","3866291","3577247","10147818","953336","6571524","1423820","2902406","4132356","9629875","2171761","1599621","5412247","4141199","3296012","4462749","2312323"
"C40H44","3481432","2682363","8618641","2187102","6470424","1695514","2163966","5293258","7541315","1704230","2004811","5831310","3898987","3408010","4288149","3190282"
"C41H46","2940757","3678821","6635733","2152255","6656691","1389339","1589488","5437554","4126885","2093299","1826443","4740918","3856231","3623839","4490530","1862582"
"C42H48","1902745","2857719","7212638","2480797","7137105","1149465","2140115","3980507","5803234","1810128","1349795","5959193","4772891","3923601","3888810","1431856"
"C43H50","2142468","3207591","5241558","1612315","6377907","1686036","1974303","4833291","5261079","1665705","1243771","4404714","3776803","3770491","3088821","2008095"
"C44H52","2473615","4037230","4486696","2697227","6289114","1596720","2467078","5173211","3981146","1116524","1518264","4479317","2971415","3561600","3545293","1736236"
"C45H54","1972627","2848081","4235377","2051126","5451592","1860627","2088750","5175161","3589073","1382119","1235499","3916076","2844702","3048398","3228750","1693399"
"C46H56","1573981","3456760","3778002","1177370","5942146","1584867","1837926","5055468","3547260","1124480","1189513","4203267","2800604","3556674","3259932","1614177"
"C47H58","1404591","2872444","4060800","1832936","5434464","1973901","2255487","4230698","4151718","1283941","1021719","3059733","2338795","2505738","2267146","1594629"
"C48H60","1132457","3517178","2296601","1337620","5963379","1686079","1764915","4120564","3360192","4369019","1040187","3175330","2595817","1984895","2022889","1435903"
"C49H62","1243763","3479423","2315874","1304339","4342953","1477442","1461255","4151018","3081522","6116036","3995662","2964110","2391520","1420024","2331536","1266343"
"C50H64","1423869","2241958","2445599","1450027","4626938","2302179","1179769","4080100","3001020","2440765","4179941","3024880","1900696","2482241","2094826","1298274"
"C51H66","2522293","2334623","2072451","1588635","4542813","2180641","1613066","3848118","2467375","3540872","8354189","2676104","2376939","2438173","2099687","1253316"
"C52H68","4184424","2709900","2024617","1007416","4117720","1839028","1888057","4030967","2328848","4145442","7451868","2765589","1988530","1977080","1914998","2500120"
"C53H70","3817915","2203021","1963404","1489107","4798442","1783614","1913331","3431413","2656997","5505889","11116641","1422055","1337810","1509690","1622957","2087420"
"C54H72","5971031","2011123","1772349","1059367","3474858","1941085","2087427","3509437","1601190","4769719","10458347","1442063","1177606","1269018","1819009","3049785"
"C55H74","5695540","2220375","1452368","988995","1989423","1754938","2718758","2821953","1682165","5647783","8511663","1606363","1655529","1643620","1404989","3066542"
"C56H76","7292673","2159700","1411208","1006129","3162514","1330054","2388739","3019972","1423879","4543948","7195682","1444750","3974129","1828728","1520681","3190101"
"C57H78","7065737","2172296","1491376","1127091","2487827","1841537","2944155","2190667","1770003","5297528","7938130","3829369","3404022","3107954","1114531","4383784"
"C58H80","7474329","1946442","1290000","2822951","3173904","1316881","2540680","2744020","4525193","4345145","11938387","7793741","9855408","3415941","2384739","2618876"
"C59H82","6527793","1768978","1125243","3318849","2715368","1961486","2686053","2394291","6629664","5939836","10347790","6309255","9556355","4801056","5798719","3731632"
"C60H84","7402769","1177496","1192277","4995035","1769282","1142422","2810317","2984572","7852631","4630965","11304360","10634128","11826649","4535747","3079714","3668426"
"C61H86","6896418","1251144","3899572","4681186","2135918","1400826","1977009","1646993","9656524","3678227","6619191","10376257","7645313","6040555","4334689","3788492"
"C62H88","5878346","1728904","5520424","2962815","1211731","1198751","2887637","1742668","10116985","3855827","5815498","8100433","11671119","5470795","5987964","3941691"
"C63H90","7123763","2245881","7219001","6260292","1283408","1312168","2700824","1658069","8383921","4815689","4056423","12001455","9650739","5750701","3523793","3677989"
"C64H92","7003445","2324145","9117324","6541064","1239780","1684922","2979422","1323916","10614740","3546306","4389216","14539937","13400345","5715255","6922462","3629431"
"C65H94","5844798","2148114","9847685","4368416","2412498","1323958","2370925","1288685","11575154","3456088","3583846","14469826","20185836","5165070","9175362","3000113"
"C66H96","6407228","2769270","7203119","5322943","2524882","1227130","2001075","1297292","11986670","2945033","3478056","19970486","21333848","5612835","12691722","4062035"
"C67H98","5612377","2555395","10111418","4779416","2881158","1539606","2133677","2177042","17087422","2792914","2966620","12922904","18689808","6121387","8314941","3950754"
"C68H100","5127599","1937583","10298658","4826977","4023644","1083349","1814479","2278008","11646269","2944942","2111461","12401552","11859210","4767238","5953821","3359758"
"C69H102","5011775","2147188","13061115","3063949","3802167","1402625","1526417","2779792","10328348","2341257","2701841","11757810","10447917","5148306","4681872","2478502"
"C70H104","5914634","2557006","14778216","3801145","4237823","1866685","2252783","3058993","10068878","1756496","2476105","7693067","7562092","5021661","4294425","3168634"
"C71H106","5504989","2276808","12154474","2656316","4067484","1611552","1432687","2656308","7111863","2240238","1358322","8959133","8907308","4418273","4001597","2471833"
"C72H108","3726312","1913590","12145615","3445866","5066501","1661294","1321441","4470764","7158965","1958972","1970824","6186268","6607925","4307528","3792378","2621238"
"C73H110","3683730","2457333","10890846","2449559","5826482","1308825","1778711","3365913","6101707","2243838","1499126","8540752","5919061","4495559","2838943","2482106"
"C76H116","3278391","2651355","9268493","2735657","5247156","1389794","1803305","3557059","7451935","2348276","1082877","6555623","6211931","4759797","3070644","2646228"
"C77H118","3965763","2634392","7443301","2167251","4808729","1325359","1624330","3365339","5348808","1417226","1322591","7479700","5778542","3984087","2829250","2017330"
"C28H18","3187509","2084972","5413134","2275449","5592091","1160000","1790759","3831067","5317345","1326826","1205920","6313655","6418211","3130345","2669364","1987428"
"C29H20","3370391","2099832","6514097","2251005","5280089","1069124","2189116","3994014","4015606","1228565","3462809","7794096","5200406","3493258","2673914","1528774"
"C30H22","3942911","1657052","4829483","1313320","5617220","1257857","2279161","3506270","5301042","4531144","5024393","5956916","4174304","2953500","2274022","1363971"
"C31H24","3335180","2092510","4631449","1742501","5118299","1263975","1706620","3105993","3154690","4872918","6236617","4873204","3887812","3406005","2119882","1227459"
"C32H26","3576092","1454772","4069145","1564510","6050075","1074804","3060067","3151355","3134935","9154582","8400195","5150536","3820142","2912102","2019450","1129644"
"C33H28","2562803","1721281","5158361","1374138","5386958","1426483","1514824","3439815","2612454","7786571","8691497","4239617","3690104","2420305","2484705","1331942"
"C34H30","2747265","1524008","3849833","1174817","4993989","1275479","2038983","3623430","2128954","10212114","5730698","3799643","3545213","2396318","2131436","1198776"
"C35H32","1118180","2240137","3729293","1216691","4504709","1312091","2103221","3394474","2079575","8621395","8221367","4023444","3177578","2579643","1771916","1242107"
"C36H34","1972611","2300688","2778634","993203","4816273","1134134","1736385","2959661","2258883","10170634","9125163","3446792","2816761","1444784","1651654","1077565"
"C37H36","1867591","1158328","2627132","6194270","4113302","1025911","2108110","1590173","1948668","7950222","11416556","2983271","3117315","1379544","1323888","1587536"
"C38H38","1501393","1497209","2796886","2872642","4718197","1291297","2080956","2072060","2277454","10157687","13391373","3283571","3155812","1701771","1255633","2185719"
"C39H40","1155974","1762638","2100307","4545192","4504843","1200634","2109281","2345442","1987053","15744658","9350284","3398889","2056217","1494025","1130688","2189741"
"C40H42","1318881","2131616","1374006","5361728","4504142","1244875","1252205","2394465","1824782","17049082","8792288","2484150","1787605","1643862","1144313","2393450"
"C41H44","1162082","2080638","1768773","7560834","4439351","1074545","1764964","2362995","2021167","15775518","7515942","1584885","1350710","1337987","2062120","2629908"
"C42H46","2294972","2246404","1426230","7745760","3755033","1139137","1823678","1817579","1389962","8694895","6015854","1819393","1757875","1532633","1835891","2930096"
"C43H48","2909673","2340429","1325525","9675951","3254966","1460061","1687792","1825417","1720866","8388842","4319172","1838137","1251105","1608945","1744218","2721475"
"C44H50","3995791","1973653","1623456","9587145","2908194","1220959","1767112","1406381","2921477","6085820","4182942","1431332","3608496","2200742","2383608","2949584"
"C45H52","4363919","1710137","1249185","12433671","1906548","1153339","1502629","1407671","4809927","6772792","4585399","1544390","5755278","2859124","3056157","2982490"
"C46H54","5346694","1651547","1269698","14800156","3622852","1248187","1351852","1485876","3484394","6709165","3780797","1591144","6656140","3950299","2704753","3167819"
"C47H56","5088576","2096153","1324396","13103292","2083914","2281309","1546325","1628831","5165467","4260159","4022623","2667062","9263941","4342135","3709385","2875006"
"C48H58","6213513","1520047","3085138","8258171","2969701","3960418","1869810","1528369","5260300","4849388","2641719","4934718","9350795","4302572","5901026","2691061"
"C49H60","4825679","1414817","5136854","8222430","2323313","3099572","1632317","1555324","8346383","4288178","3236735","4084033","8173868","5212253","5341898","3343790"
"C50H62","5308475","1311897","4233080","5543618","1435343","3767353","1525034","2076246","7681982","4177548","2666400","4656715","12335240","3865330","4585356","3204747"
"C51H64","6438455","1205659","6075010","5929725","1539059","4051244","1686718","2728343","7453318","3216489","2022655","5005039","12973431","4829108","3144686","2935752"
"C52H66","5281065","1315521","6329592","4529248","1454786","5009220","1679545","2557288","11001517","2976820","2605660","7928481","14691542","4701728","3610906","1982328"
"C53H68","6077908","1328511","6350983","4735014","1618242","3675893","1411763","2296165","12418984","3269081","1396158","8033877","20048532","3922076","2512530","2186667"
"C54H70","5436350","1273169","9489075","4868836","1587578","4235787","1844621","3372435","10418402","2775350","1924072","7420245","13792891","4206980","3269084","1664112"
"C55H72","5426647","1496961","8298735","3197820","1559970","4371251","1842728","2582514","7403622","3339792","1255066","12913186","11676106","4672334","3012813","2277538"
"C56H74","4870924","1261095","10290126","4397778","1305342","4219115","1527649","2924227","6489719","2874408","1330468","18098530","10647426","3452540","2502802","1228925"
"C57H76","4450923","1166549","12248746","2961339","1275233","5883056","1443371","2655048","4934457","2010452","1503031","11339701","8453771","3741098","2740147","1980593"
"C58H78","4415679","1295159","9219387","3097113","1806221","4268138","1136153","3184760","5003473","1532342","1152965","10579703","8480212","4636557","2245818","2180075"
"C59H80","4359169","1608552","10093148","2669530","1686983","4925853","1873313","2655117","5216437","1266041","2492084","9757702","6175402","3271373","1959640","1721546"
"C60H82","4660790","1300237","7604436","2531560","2324969","3964043","1445947","2761481","4017950","1374414","3915625","4940206","8711889","3435522","1737641","1456609"
"C61H84","4903237","1181161","5987719","1960231","2439626","4846457","1653272","2496952","3286563","1342517","2614690","6022842","7597077","2194632","1493347","1351903"
"C62H86","4087005","1574237","5045744","2146813","3205458","3197103","1100976","2958448","4555738","1262950","4580803","6142189","7668805","2433662","1258101","1736044"
"C63H88","3631732","1583733","5007288","1432289","3215210","3647878","1767594","2060657","3700071","1133437","5392999","6479916","6801267","2583684","1478740","1376048"
"C64H90","2910056","1244295","4771974","1096670","3084118","2811643","1088854","2129012","4124864","1111655","5607932","4768291","7545388","2601151","1233649","1200832"
"C65H92","3598620","1253085","4765225","1726460","3998671","2351662","1209378","2541192","3977301","4888222","6893712","5675137","6468876","2292274","1455814","1228392"
"C66H94","3108306","1198996","4476092","1573427","5019362","3134015","1103728","2054837","2582164","6992437","6267415","5386796","4936878","2440191","1512411","1084254"
"C67H96","3047688","1738131","3848796","1411115","4124321","2424868","1276020","2017001","2339612","8556388","8283001","5721419","4633966","2099532","1995538","1300028"
"C68H98","3231315","1588648","3727666","1392281","4495150","2357648","1235393","2154313","2594884","11234380","9517514","5018768","4571906","2719267","1324698","1076229"
"C69H100","2646858","1379252","3575741","2250408","4459692","2555306","1240229","1969908","2464902","11736265","7616533","4301487","4380932","2112856","2633301","2102450"
"C70H102","2484442","1873072","3281600","7177353","3857787","2437525","1134887","1620434","2637128","8457729","7383075","3759473","3927824","1494340","2301581","2003506"
"C71H104","1953440","1612389","3320574","4449196","4673563","2233975","1375273","1313244","1512621","11669559","6102560","4094717","3394808","1433151","2256241","2409651"
"C72H106","1267802","1603202","2443002","5817017","4942601","2035498","1223243","1242738","2081002","10632044","4001821","3504272","3205986","1678315","2461711","2508732"
"C73H108","1687705","1850823","2681347","9882565","4987898","1539027","1219206","1267952","1311320","11254328","4379688","3045224","3211048","1858209","2285042","2266321"
"C74H110","2598595","1553399","1928724","5754213","4900016","1715133","1081083","2620133","1482156","16487870","4536286","2752886","3150117","1491661","1824463","2216822"
"C75H112","2523108","1330816","1423658","9641000","4720047","1658163","1167292","2221755","1273971","13173957","3981315","2182887","2321407","1391410","2268587","2111858"
"C77H116","3677700","1197285","1243198","16064595","4435834","1229635","2372840","2145401","1363369","11864514","3239237","3120506","2127667","1503015","1996042","2847628"
"C78H118","3230703","3791378","2043378","13994046","3781285","1179078","1541444","2344482","3054933","10444580","3939922","2396910","1775567","1665310","1546738","2186948"
"C80H122","4261489","5594259","1390098","11101341","4024929","1330929","2236333","2489461","8440898","8956862","3017345","2612871","1543396","2598848","1333145","2722331"
"C28H16","4539752","4332115","1382976","9708579","3553638","4923759","1744833","1691627","4488457","8252324","2902253","2263313","1616233","3141789","1874305","2056833"
"C29H18","5098342","6395701","1115883","7977848","3462827","6452306","2739536","2549372","4651798","6510375","2471165","1343728","1524641","3004970","1946290","2430340"
"C30H20","4827473","5754484","1888115","6944138","3964200","6854517","2020513","2354238","6083903","8124057","2257432","1487488","1392931","3549578","1993908","2292034"
"C31H22","3512337","5435848","1560837","6371146","3205999","5401525","2401504","1566739","3491313","6342182","2717493","1933876","2539223","2963427","1292939","2629579"
"C32H24","4472954","5441850","2586693","4210058","3398032","9241962","1899511","2468019","5763446","6647248","2468230","1521104","3613878","3500622","1315662","2076461"
"C33H26","4603464","5263831","6121982","6119199","2738851","9297397","1564955","2132211","10421851","5235091","1935819","1432164","3782629","4243606","1732923","2145789"
"C34H28","3981419","4946395","2845702","5603101","2978238","6584879","2706689","1819469","15589268","5682539","1541830","1183616","4361951","3080489","1619175","1800504"
"C35H30","3869137","5013270","4258241","5281779","2009591","8845306","2010457","1598924","10460308","5396808","1304723","2251010","4963759","3582053","1539948","2193551"
"C36H32","4744568","4445801","5847697","4181635","2728576","9037525","2228168","1573246","6134205","4642071","1239146","6479356","7720867","3347120","1646165","2160557"
"C37H34","4036563","4522167","4507773","5151664","2472628","9929788","1972438","1212784","5758830","3660483","1270862","3128037","7085711","3609111","1747054","1600572"
"C38H36","3566292","3718904","6482089","3944535","1955089","6646614","2184202","1495516","3977675","3342382","1448196","3592024","6979997","2559259","1432511","999557"
"C39H38","3393660","4446386","10965932","3488398","1692214","8299044","1129839","1478408","5217017","2746654","1297625","5356235","11810955","3511919","1672516","1744323"
"C40H40","4577989","4034977","14007809","3581779","1278177","5997806","1171300","1602814","3874466","2906966","1466291","3712459","15567431","3489990","1588611","1306652"
"C41H42","3885533","3266947","10939418","3747723","1333031","8497143","1632646","1121897","4474134","2846878","1192315","5448168","11750833","3247425","1284481","1537845"
"C42H44","3100500","2908702","7934192","2644767","1202617","5946757","1412285","1122657","3971180","2343384","2016950","10308464","8965265","2657709","1090911","1275621"
"C43H46","2510985","2081948","5899081","2487361","1179376","7609511","1235267","1861916","3156667","1969441","5538620","14506248","9222657","2346346","1469548","1086469"
"C44H48","3215579","2868827","5885439","2124328","1568354","5151805","3095659","1666164","2463436","1508779","3471264","9945943","5850859","2114518","1315375","1197638"
"C45H50","2505810","2290878","4664441","2394333","2282676","5626728","3498985","1843309","3568566","1698876","4439070","7095912","6839354","2056368","1665009","1405694"
"C46H52","2928217","2196769","4054109","1616488","2530894","6042951","5114479","1563441","2438509","2340443","5518660","5991720","6576933","3036384","1068008","1010261"
"C47H54","2779268","2756523","4108628","1629900","2655157","4815076","5335861","1391624","1926792","1610763","4375352","4054628","6775144","1692043","2426131","1371832"
"C48H56","2213006","2402390","4030242","1598797","3407854","4435494","3196335","1708138","1800978","1223101","5879521","4743400","5127888","1870804","1359335","1982901"
"C49H58","1706584","2399002","3678169","1284904","3054858","5046324","6254315","1434841","1703038","2431927","7590646","4433092","5607210","1484152","2781485","1648593"
"C50H60","1804214","1583090","2963355","1036880","4028697","3348019","6075392","1792023","2598314","4097320","11202951","5723649","5652085","1407423","1516833","2433165"
"C51H62","1617546","1893724","3122825","3750039","3409968","3008328","4447828","1209270","1677364","4223216","8726439","4344907","6010166","1387005","1727357","2424986"
"C52H64","1301050","1204077","2484499","3831537","3644411","3900183","5214856","1841550","2711194","6582611","5444464","3771730","5329927","1517503","1696609","1875104"
"C53H66","1193459","1310271","2822136","7021065","3297981","2599597","5562580","1376576","3387551","6225997","4215589","3532692","4316036","1360792","1758997","1888415"
"C54H68","1182772","1339839","2519037","7988113","3492594","3098965","5672299","2176309","3131847","6185064","3649238","2815878","4251677","1416348","1063834","2068632"
"C55H70","3177596","1231566","2419645","7505551","4282650","2831960","3712822","1786414","3106029","8131899","3226262","2460409","4547992","1290171","1190784","2941061"
"C56H72","2548631","7500850","1782447","6255317","4112697","3034852","3958347","1240254","3862848","7685950","2427936","3342879","3629969","1812583","1205862","2328900"
"C57H74","2935120","10020775","1913295","5242996","3472796","2861618","3109940","1428641","6015477","9266186","2984010","2669271","3653026","2877627","1558828","2069254"
"C58H76","2617469","4884908","1597975","8877757","2919111","1712109","3718265","1208019","6404992","10918140","2339265","1923693","3684233","2451679","1078177","2040282"
"C59H78","4091536","6481179","1547578","9909603","3766591","1361077","2721444","1277995","4448851","9869210","4069684","2439323","2966994","2588402","1384014","1712590"
"C60H80","4283503","8239383","1382075","8552473","3857803","2111530","3080408","1568292","4786978","8744039","2624961","2385185","3032409","3036429","1486612","1859908"
"C61H82","3723522","12134212","1133414","6648213","3268147","1825468","2082207","1205597","3780211","7116244","2547288","1844604","3276535","2749871","1487321","1894633"
"C62H84","3701033","10644733","1187827","7112836","3050423","1283765","1839284","1752082","3904619","6769295","2920543","1641791","2638696","2771766","1187794","1925227"
"C63H86","4317395","9806900","1291582","5491263","3141902","1329022","2835409","1422665","3550768","4879497","1567550","1328349","2646612","2974210","1395230","1304951"
"C64H88","3463931","8475894","1845995","4587476","2580783","1320061","1436067","1334959","2990739","5060629","1927445","1873844","1916619","3166128","1497119","1774010"
"C65H90","3961997","10444108","1113790","4605460","3158745","8205617","1765427","1181582","2931464","6351237","2146381","2162388","2114526","2606744","1318958","1557556"
"C66H92","3945597","10149572","1082367","5154772","2793595","3428704","1887262","1502196","2146981","5311759","1734567","2305057","1801359","2566508","1091680","1647279"
"C67H94","3198699","10881946","1177170","3472910","2431792","6511751","1593087","1265942","2730882","5515444","1192422","1593853","1950489","2318050","1314641","1319520"
"C68H96","2981812","8509106","2148014","4948737","2096654","7037513","1983855","1340634","1389293","4523124","1338110","2011778","1684767","2621588","1203193","1076128"
"C69H98","3538651","10010349","2389345","3867533","2111020","8485944","1461446","1504771","1455350","4733001","1228613","3104387","2239093","2092697","1652158","1049792"
"C70H100","2947680","6773564","2280192","4332181","2186932","8815852","7183358","1377103","1716725","4010023","1661572","2005460","5367874","1305166","1134780","1420207"
"C71H102","3037928","8800013","3165543","3745531","2428158","12417984","3122941","1169769","1724692","3181049","1582829","2428817","3181206","2156052","1580603","1590734"
"C72H104","2093618","7826974","3090891","3410695","2009704","13483313","6178928","1214524","1585611","3852203","1815425","3365848","3485898","2051208","1119318","1686466"
"C73H106","2302874","6428714","2942610","3634632","1577382","17903026","6422807","1220674","1462253","3612451","2905493","5146793","6226411","1727733","1246060","1955769"
"C74H108","1575551","6123766","5145934","2515494","1323970","18846402","8563385","1153877","2643758","2987561","2220776","5732520","3474017","1855543","1067862","1653380"
"C75H110","2301622","5092502","7176082","2351880","1709897","18691038","8428646","1398639","2251747","3036798","2478509","4994813","5169059","1573559","1206755","1809189"
"C77H114","2543500","5492587","6826860","2625407","1257507","11041878","9625518","1269217","1936249","2576361","3868041","3838433","10071605","1396333","1429861","1712793"
"C31H20","1659797","4816341","6349575","2522739","2213395","12181686","11022374","2110571","2731111","2138372","5571424","4018774","13879812","1623757","2043343","1356297"
"C32H22","2361191","4992051","4824971","2224618","2423596","8245075","14609418","2871923","2698270","1801182","5425474","3597610","9571578","1722097","1776188","1719493"
"C33H24","1437750","5059256","4086720","1935340","2580864","10108526","15161998","2278711","2513812","2839721","3735364","3941161","6824805","1292261","1481313","1458650"
"C34H26","1364222","3647839","3876471","2259075","2681631","7962701","14946536","3670722","2325894","1877852","3140038","3682978","6986888","1742754","1247294","1700950"
"C35H28","1566936","3715103","3408126","1643116","3350853","8958911","9267749","3407072","2008346","1745666","2816563","4376017","4384588","2179463","1099491","1904248"
"C36H30","1502574","4022003","3406590","1046816","2577414","8028541","9414359","3578864","2452342","1424432","2962331","2762339","5146270","2216495","1091770","1431951"
"C37H32","1463224","2998840","3722268","1258899","2854367","6039205","5359508","3192343","2126581","1261515","2705422","3457030","4624284","2716664","1224525","1618757"
"C38H34","1497639","2863354","2822164","1681590","3053902","8604761","7254243","3321381","1580240","1981338","2342245","2344123","4765178","2042177","2052394","1164612"
"C39H36","3208075","3271766","2873586","1643441","3530384","6106029","4922701","3631733","2157616","5798786","2692749","2147367","3897733","2374469","1250015","1103780"
"C40H38","2370489","2389863","2257621","1274229","3435148","6453439","5943237","3061686","1797336","3975527","2061875","1804278","3307017","1949215","1389593","1114841"
"C41H40","3449233","2787458","2449374","1907260","2763729","5983933","4601013","3128989","1266264","3786536","2782725","2682836","3851637","2099330","1148292","1185910"
"C42H42","2894844","1633299","2825323","2422171","2695908","4648140","3970776","3237977","1198203","6143618","2971383","1692542","4337728","1966882","1091779","1059242"
"C43H44","3022303","2693178","1856183","3900229","3219527","4952592","4218088","2996627","1394235","3933455","2447296","2029209","4423941","1557502","1614363","1290670"
"C44H46","3877217","1938199","2217479","4431886","2780139","5143043","3219354","2575100","1505787","5255678","1796550","1598850","3425375","1653645","1160399","1115094"
"C45H48","3241351","1147616","1850503","3558242","2674173","3960205","3809045","2419013","1392245","8356329","1860720","1390122","2951376","2044718","1081803","1583987"
"C46H50","2470208","1554975","1468807","5689908","2764661","3360249","3511545","2413884","2388785","11642958","1945340","1833716","3757105","1348672","1141175","1092928"
"C47H52","3275642","1144943","1493245","4202261","2083147","3489937","2520801","2252729","2019610","7297146","1576724","1574272","2635806","1530440","1267127","1514173"
"C48H54","2819077","1406306","1196856","8833282","2762328","3697299","2856040","1849749","1489509","6245136","1766014","2344356","2850865","1526846","1171838","1820374"
"C49H56","2456225","2289738","1382606","13260403","2431862","2193824","2665306","2262081","1724551","5162110","1681913","2149667","2705947","1628894","1095880","1796224"
"C50H58","2400593","6914220","1291922","8259472","1735880","2905457","1186656","1367956","1852917","5085019","1311841","2726090","2026569","1409566","1256278","1093580"
"C51H60","2892823","5646461","1388140","6164238","1826405","2459046","1470553","1340050","2041875","4930924","1471703","2029759","1919893","1366327","1564767","1689286"
"C52H62","1859843","12835257","1642968","6718880","1684199","1579488","1623593","1453088","2172712","4377859","1428753","2412200","2572505","1472094","1597119","1167656"
"C53H64","1287952","12786607","1754484","4775679","1346371","2072131","1918375","1386910","1919129","4903026","1205529","2620771","2413790","1693188","1235702","1020187"
"C54H66","1943709","16084162","2319731","4809825","1671384","1850311","1188386","1475352","2058251","3962359","1453617","3284370","1625469","1828526","1134620","1514013"
"C55H68","1793789","13259284","1852720","5223068","1583875","1576533","2359934","1334808","1669794","4844441","1627757","1885698","1737675","1466220","1055490","1310427"
"C56H70","2557599","15797080","2281048","4961921","1208616","1569747","7803149","1135905","1608948","3936085","2017900","2260607","1649878","1456340","1126346","1479858"
"C57H72","1904772","12082057","3255163","3491065","1330324","1673255","5588267","5839084","1546762","3618599","1995788","2301577","1426877","1637806","1149116","1360463"
"C58H74","1591362","14345903","3241710","3780109","1227681","1771197","5889941","7963164","1422307","3045637","2653749","2321821","1393946","1875374","1815195","1057989"
"C59H76","1625550","21804246","3377923","3871386","1802827","1231817","10582979","4239143","1233309","2443995","1584760","2221674","1479045","1864583","1122838","1017358"
"C60H78","1650654","23214528","2986288","2939266","1800409","2120404","5886404","4814637","1709101","2829459","1828074","2025631","1019487","1567617","1239354","1481717"
"C61H80","1446241","21735978","3069241","3571112","2144249","7176845","10446120","6405268","1732646","3317781","1985703","2324323","2429338","1317517","1648888","1183146"
"C62H82","1100567","14234881","2624749","3235203","1891976","5585527","16715990","8707424","1659646","2082607","1879117","1346944","1320904","1704971","1307315","1114426"
"C63H84","1150806","14571812","2535041","2928700","2061140","6408634","16691065","8471873","2448273","2113442","2316651","1666848","1957297","1533936","1153473","997553"
"C64H86","1154435","10366333","2552217","2273466","2142430","11130938","12660295","6804933","1188604","2047280","2224785","2064899","3034211","1280830","1606372","1529120"
"C65H88","1198289","11977060","2261469","2074595","2705314","6671952","10616949","6233488","2955835","1336890","1791151","1779681","2651722","1764491","1188816","1091507"
"C66H90","2098165","11003028","1892353","2178228","2741248","11471189","9257254","7218955","1748451","1371849","1979853","1544668","2848762","1328779","2746580","1290998"
"C67H92","1788563","9569995","2952709","2008001","2524547","13534222","7831406","8144376","1850598","1336470","1840539","2150220","3280006","1261911","2564337","1014911"
"C68H94","1462752","9471942","2186544","1630981","2240208","17708376","6426102","7795974","2129784","1632692","2081477","1316770","5269200","1731459","2708887","1037089"
"C69H96","2906806","9158540","2107161","2023050","2263146","13766319","5100360","6546663","1518819","1284415","2403874","1200506","4997575","1514075","2082541","1045001"
"C70H98","2288382","9113208","1419739","1811544","2345686","12327826","7358954","5925551","1493045","1584273","1998884","1093056","4104791","1351235","2853831","1126354"
"C73H104","2068895","6861035","1123840","1997722","2733445","10924907","6802090","5198337","1802783","2500989","1798960","1241806","3348295","1512430","3646178","999099"
"C76H110","2630642","5904198","1655427","1143492","2463285","11177812","6013383","6507149","1532886","1620400","1835692","1443906","4010775","1897999","3235018","1284956"
"C77H112","2316306","7517638","1331941","1048084","2174430","7308730","5137404","5341187","1452575","3081169","1775070","1560008","3924401","1430652","3143307","1132266"
"C32H20","2277356","5656680","1019110","1055658","2496376","7085279","5699075","4608045","1645015","3218657","1568079","1304267","3551999","1440084","3402477","990752"
"C33H22","2862188","6223654","1354351","1110987","2823661","8821510","4630677","4620003","1619109","3465547","1209344","1342614","3245072","1317082","3370775","1427717"
"C34H24","1949983","5630454","1217713","2857176","2361473","8820431","3888121","3979773","2026480","2963632","1385416","1985132","4124296","1440346","3193231","1677606"
"C35H26","2444185","5287196","1890834","1463689","2313324","8766649","4130772","4363196","1563900","3284137","1358709","1515625","3430965","1317427","3000794","1142750"
"C36H28","2289117","4638101","1811396","1537713","2293443","6912485","3183042","3329495","1447070","5214672","1081268","1821307","3183842","1468570","2811083","2007399"
"C37H30","2191341","3607168","1764963","1925378","1815360","8298356","3109213","3408979","1487609","5623221","1649767","1424669","3623242","2323587","2741392","1367497"
"C38H32","1626158","4469495","2050694","3068422","1141247","6617727","2504799","2998056","1943171","4364136","1447026","1307493","3920902","2108615","2287026","1520009"
"C39H34","1914774","2022800","2516496","3117839","1384550","6092637","2925395","2949186","1247316","3392189","1969319","1253287","2647212","3416897","3090104","1813471"
"C40H36","1586041","2973925","1458270","3293859","1600806","6650183","1745692","2085064","1497542","3695909","1887385","1710721","1471663","2862336","2737178","2065988"
"C41H38","1572391","2531603","1736502","4143980","1343422","5182305","1494682","2034098","1381458","3650595","1201554","1802940","2380251","3374311","2121430","1879397"
