N° MUESTRA,DESCRIPCION DE LA MUESTRA,SAMPLE ID,N°  de Espectro,ASCI,IN (ASCI),API ,Azufre (%w) ,Saturados(%w) ,Aromaticos(%w) ,Resinas(%w) ,Asfaltenos(%w) 
66,CRUDO DEL OAM LERIDA,201219880,92,13,35,24.8,1.01,,,,
67,CRUDO TISQUIRAMA (DESCARGADERO 1 AYACUCHO),201178652,93,14,30,20,1.98,41.87,45.53,8.70,1.20
68,GRB,,94,9,55,,,,,,
69,P2,,95,20,0,,,,,,
70,P3,,96,13,35,,,,,,
71,P4,,97,20,0,,,,,,
72,P6,,98,9,55,,,,,,
73,P7,,99,8,60,,,,,,
74,P25,,100,12,40,,,,,,
75,P50,,101,10,50,,,,,,
76,P63,,102,11,45,,,,,,
77,P71,,103,12,40,,,,,,
78,P87,,104,7,65,,,,,,
79,P105,,105,9,55,,,,,,
80,P118,,106,8,60,,,,,,
81,P137,,107,10,50,,,,,,
82,P177,,108,11,45,,,,,,
83,P161,,109,10,50,,,,,,
TAG,Con(%w) Crude (IBP-FBP),,,,,TAG,,,,,,,,,,,,,,,,,,,,,,
ABR,9.78,,,,,QUF,12,,,,,,,,,,,,,,,,,,,,,
ACR,9.78,,,,,UND,9.03,,,,,,,,,,,,,,,,,,,,,
ANG,11.4,,,,,TCN,8.82,,,,,,,,,,,,,,,,,,,,,
APY,9.23,,,,,MCH,8.14,,,,,,,,,,,,,,,,,,,,,
ARA,3.95,,,,,ABR,9.78,,,,,,,,,,,,,,,,,,,,,
BY1,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHU,3.04,,,,,YAR,9.2,,,,,,,,,,,,,,,,,,,,,
CN8,14.8,,,,,VEL,5.51,,,,,,,,,,,,,,,,,,,,,
CPU,0.635,,,,,CSB,6.91,,,,,,,,,,,,,,,,,,,,,
CSB,6.91,,,,,CN8,14.8,,,,,,,,,,,,,,,,,,,,,
MCH,8.14,,,,,BY1,5.91,,,,,,,,,,,,,,,,,,,,,
MNU,3,,,,,ANG,11.4,,,,,,,,,,,,,,,,,,,,,
NAR,7.8,,,,,ACR,9.78,,,,,,,,,,,,,,,,,,,,,
OML,5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUN,2.33,,,,,APY,9.23,,,,,,,,,,,,,,,,,,,,,
QUF,12,,,,,SUR,4.03,,,,,,,,,,,,,,,,,,,,,
RHE,2.01,,,,,PUN,2.33,,,,,,,,,,,,,,,,,,,,,
SRQ,9.27,,,,,RHE,2.01,,,,,,,,,,,,,,,,,,,,,
SUR,4.03,,,,,NAR,7.8,,,,,,,,,,,,,,,,,,,,,
TCN,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
UND,9.03,,,,,ARA,3.95,,,,,,,,,,,,,,,,,,,,,
VEL,5.51,,,,,CHU,3.04,,,,,,,,,,,,,,,,,,,,,
YAR,9.2,,,,,CPU,0.635,,,,,,,,,,,,,,,,,,,,,
,,,,,,MNU,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,OML,5.77,,,,,,,,,,,,,,,,,,,,,
,,,,,,SRQ,9.27,,,,,,,,,,,,,,,,,,,,,
